"Sales ID";"Sales Amount (USD)";"Cost Price (USD)";"Region";"Conversion Rate (%)";"Sessions";"Views";"Follow-ups";"Closed Deal?";"Customer Feedback";"Customer Plan";"Customer Rating";"Sales Date";"Customer ID";"Channel ID";"Product ID";"Sales Rep ID";"Campaign ID";"Lead Source ID";"Country ID"
"S0001";857;769;"Asia";7;12;64;4;"No";"Product not available";"Premium";1;"2022-12-23";1;1;1;1;1;1;1
"S0002";706;414;"Asia";21;14;60;4;"Yes";"Price too high";"Basic";7;"2024-03-15";2;2;2;2;1;2;2
"S0003";1033;900;"Europe";18;17;35;2;"No";"Price too high";"Basic";6;"2024-02-16";3;1;3;3;2;1;3
"S0004";1218;1099;"Europe";23;5;88;5;"Yes";"Highly satisfied";"Basic";1;"2023-06-14";4;1;3;1;1;3;4
"S0005";1437;1302;"Europe";13;6;92;3;"Yes";"Product not available";"Premium";1;"2023-05-20";5;1;4;2;3;3;5
"S0006";540;280;"North America";26;5;36;2;"Yes";"Responsive sales team";"Premium";5;"2024-06-06";6;1;5;4;3;4;2
"S0007";1094;1035;"Europe";19;5;34;4;"Yes";"Fast delivery";"Premium";9;"2023-11-05";7;1;2;3;4;3;1
"S0008";1342;1160;"South America";24;15;26;2;"Yes";"Fast delivery";"Basic";9;"2023-08-04";8;1;3;4;2;1;5
"S0009";520;265;"Europe";21;9;87;1;"Yes";"Excellent service";"Basic";5;"2022-08-06";9;1;6;5;4;5;9
"S0010";902;653;"South America";28;14;66;4;"No";"Satisfied with product";"Basic";8;"2022-03-29";10;1;7;6;1;4;10
"S0011";572;418;"North America";11;8;69;1;"Yes";"Highly satisfied";"Basic";10;"2024-04-16";11;1;8;3;3;3;11
"S0012";360;255;"Asia";21;17;22;3;"No";"Responsive sales team";"Premium";2;"2023-01-24";12;1;6;6;5;4;10
"S0013";1434;1304;"Europe";23;11;63;2;"Yes";"Price too high";"Premium";5;"2024-06-18";13;2;9;3;1;5;5
"S0014";1468;1232;"North America";15;11;44;5;"No";"Fast delivery";"Premium";7;"2023-10-22";14;1;5;1;5;5;3
"S0015";785;587;"Asia";19;5;46;3;"No";"Price too high";"Premium";2;"2023-01-25";15;1;7;2;3;4;9
"S0016";1461;1228;"Asia";15;16;77;4;"Yes";"Responsive sales team";"Basic";5;"2024-05-25";16;1;10;6;2;5;1
"S0017";337;83;"North America";9;15;76;4;"Yes";"Excellent service";"Basic";6;"2023-06-06";17;2;11;5;2;5;11
"S0018";1260;1195;"North America";27;11;69;1;"No";"Highly satisfied";"Premium";9;"2023-06-04";18;1;12;3;5;1;2
"S0019";860;644;"Europe";12;17;49;2;"Yes";"Great customer support";"Premium";8;"2022-03-23";19;1;12;2;3;2;3
"S0020";670;546;"South America";13;6;33;1;"Yes";"Excellent service";"Premium";3;"2023-09-17";20;2;1;3;5;1;5
"S0021";1223;1030;"Europe";26;5;20;2;"No";"Highly satisfied";"Basic";8;"2023-09-11";21;1;13;4;1;1;1
"S0022";1041;770;"North America";9;5;84;5;"No";"Price too high";"Premium";4;"2023-05-18";22;1;1;7;4;1;4
"S0023";896;790;"Asia";18;14;86;5;"Yes";"Excellent service";"Premium";7;"2022-07-22";23;2;14;1;3;3;5
"S0024";1012;781;"South America";20;6;66;3;"No";"Product not available";"Basic";2;"2024-03-17";24;2;3;5;2;5;2
"S0025";491;311;"Asia";6;16;48;3;"Yes";"Fast delivery";"Basic";9;"2022-07-26";25;1;5;5;4;2;11
"S0026";1337;1265;"North America";29;17;28;5;"Yes";"Great customer support";"Basic";9;"2022-09-18";26;2;3;7;4;2;2
"S0027";1340;1046;"North America";18;16;40;5;"Yes";"Satisfied with product";"Premium";4;"2022-07-05";27;2;12;1;4;3;2
"S0028";550;275;"Europe";28;15;47;5;"Yes";"Fast delivery";"Premium";5;"2023-02-15";28;1;3;4;1;4;9
"S0029";605;455;"Asia";19;19;98;1;"Yes";"Highly satisfied";"Basic";1;"2024-06-25";29;2;11;7;5;5;9
"S0030";1336;1147;"South America";30;15;85;2;"No";"Responsive sales team";"Basic";10;"2024-05-11";18;2;12;6;4;2;10
"S0031";1340;1183;"Europe";6;14;77;1;"No";"Fast delivery";"Premium";6;"2022-09-06";30;2;12;3;5;3;1
"S0032";381;140;"Asia";23;20;21;4;"No";"Great customer support";"Basic";4;"2022-07-13";31;1;3;3;4;1;1
"S0033";448;157;"Asia";9;5;68;2;"Yes";"Fast delivery";"Premium";6;"2023-05-28";32;1;14;3;3;4;1
"S0034";1269;1120;"North America";8;18;96;1;"Yes";"Fast delivery";"Basic";8;"2023-05-09";33;1;3;6;3;2;4
"S0035";942;746;"Asia";5;15;78;5;"Yes";"Highly satisfied";"Premium";3;"2024-02-11";34;1;4;5;5;3;9
"S0036";901;645;"Asia";11;7;26;3;"No";"Highly satisfied";"Premium";8;"2023-05-20";35;1;5;1;4;3;3
"S0037";259;167;"North America";26;16;72;2;"No";"Responsive sales team";"Basic";10;"2024-07-23";36;1;12;7;1;3;1
"S0038";1416;1350;"South America";23;8;42;1;"Yes";"Satisfied with product";"Basic";1;"2022-06-25";37;1;12;8;2;1;5
"S0039";1304;1128;"Europe";21;16;92;4;"Yes";"Responsive sales team";"Premium";8;"2023-07-19";38;2;11;2;3;5;9
"S0040";206;-72;"Europe";5;8;59;5;"Yes";"Responsive sales team";"Premium";8;"2023-06-13";39;2;7;8;4;1;5
"S0041";282;226;"South America";18;7;28;4;"Yes";"Great customer support";"Premium";1;"2022-05-17";40;1;15;8;2;1;1
"S0042";491;316;"South America";20;13;82;1;"Yes";"Price too high";"Premium";6;"2024-08-10";41;1;9;2;4;2;2
"S0043";1444;1167;"Europe";7;12;95;1;"Yes";"Great customer support";"Basic";7;"2023-07-14";42;1;15;6;3;5;5
"S0044";211;-14;"Asia";25;15;94;3;"Yes";"Great customer support";"Basic";9;"2024-03-14";43;1;13;6;4;3;2
"S0045";863;563;"South America";19;19;82;2;"Yes";"Responsive sales team";"Premium";8;"2023-01-07";44;1;12;1;2;3;3
"S0046";799;544;"Europe";26;18;88;2;"Yes";"Product not available";"Premium";10;"2022-11-07";45;1;12;6;3;3;9
"S0047";1446;1339;"Asia";20;18;58;1;"Yes";"Great customer support";"Premium";6;"2022-10-20";46;1;7;5;2;2;9
"S0048";539;447;"South America";11;7;42;1;"Yes";"Excellent service";"Premium";5;"2024-03-18";47;1;5;4;5;4;2
"S0049";585;509;"Asia";18;17;30;3;"Yes";"Price too high";"Premium";6;"2022-11-18";48;2;14;3;1;5;1
"S0050";1471;1243;"South America";5;20;50;1;"No";"Satisfied with product";"Premium";3;"2024-07-12";49;1;5;4;3;2;1
"S0051";534;346;"North America";5;9;100;1;"No";"Responsive sales team";"Premium";1;"2022-08-10";50;1;4;4;4;4;5
"S0052";648;475;"Europe";8;15;53;1;"Yes";"Highly satisfied";"Basic";8;"2022-01-27";51;2;12;6;3;1;4
"S0053";692;529;"Europe";23;18;64;2;"No";"Excellent service";"Basic";3;"2022-08-19";52;1;15;4;3;4;3
"S0054";600;544;"North America";30;11;91;3;"Yes";"Satisfied with product";"Basic";6;"2024-06-25";53;1;5;6;3;4;1
"S0055";1459;1312;"North America";13;19;44;5;"Yes";"Great customer support";"Basic";10;"2023-01-25";54;1;6;7;4;4;3
"S0056";347;202;"North America";29;18;95;2;"Yes";"Great customer support";"Premium";9;"2022-06-12";55;2;5;6;5;4;5
"S0057";736;624;"South America";22;17;67;2;"Yes";"Price too high";"Premium";2;"2022-10-04";56;1;9;6;3;2;9
"S0058";962;754;"Asia";15;8;72;3;"Yes";"Highly satisfied";"Basic";5;"2024-06-25";57;1;6;8;4;4;4
"S0059";267;187;"North America";18;12;41;1;"No";"Price too high";"Premium";10;"2023-05-05";58;1;1;8;4;3;4
"S0060";584;437;"Asia";15;19;23;1;"Yes";"Fast delivery";"Premium";3;"2023-01-01";59;1;3;4;3;5;11
"S0061";1107;812;"Europe";20;11;61;1;"Yes";"Satisfied with product";"Basic";6;"2024-02-03";60;2;4;4;5;5;10
"S0062";1275;1216;"South America";9;8;97;2;"Yes";"Satisfied with product";"Basic";10;"2024-04-27";61;2;2;3;1;5;5
"S0063";1142;1008;"Europe";7;19;47;3;"No";"Fast delivery";"Basic";8;"2022-09-05";62;1;2;3;3;1;9
"S0064";1049;805;"Europe";28;18;25;1;"Yes";"Responsive sales team";"Premium";3;"2022-05-10";63;1;9;8;2;2;4
"S0065";649;548;"Europe";17;11;98;2;"Yes";"Excellent service";"Premium";9;"2024-01-09";64;1;6;4;3;1;10
"S0066";161;27;"South America";11;5;94;3;"Yes";"Price too high";"Basic";3;"2023-08-18";65;1;4;3;4;1;5
"S0067";1215;1088;"Europe";10;13;81;2;"Yes";"Responsive sales team";"Basic";7;"2023-11-08";66;1;2;8;4;4;4
"S0068";757;595;"North America";9;15;82;2;"Yes";"Product not available";"Basic";1;"2022-04-25";67;1;6;3;3;2;9
"S0069";1259;1141;"Europe";7;10;46;5;"Yes";"Responsive sales team";"Premium";5;"2023-08-17";68;1;15;8;5;3;11
"S0070";494;237;"Asia";23;10;42;3;"Yes";"Great customer support";"Basic";7;"2022-05-07";69;1;10;1;4;5;5
"S0071";912;722;"South America";27;17;34;4;"Yes";"Price too high";"Premium";6;"2022-05-15";70;2;8;2;1;2;4
"S0072";641;558;"Europe";22;6;45;1;"Yes";"Great customer support";"Premium";1;"2023-05-26";71;2;8;4;5;2;9
"S0073";859;626;"South America";11;20;73;5;"Yes";"Excellent service";"Premium";2;"2022-12-09";72;1;9;2;3;4;5
"S0074";1081;823;"Europe";28;13;33;4;"No";"Great customer support";"Premium";8;"2024-02-25";73;1;15;1;3;4;2
"S0075";582;451;"North America";14;20;42;1;"Yes";"Highly satisfied";"Premium";6;"2023-12-20";74;2;8;1;3;1;1
"S0076";1235;1043;"South America";30;5;64;1;"Yes";"Product not available";"Basic";6;"2022-08-01";75;1;1;5;2;4;4
"S0077";274;-5;"North America";21;14;39;3;"Yes";"Fast delivery";"Basic";5;"2022-09-13";76;2;13;6;5;5;1
"S0078";1175;933;"Europe";21;10;99;4;"Yes";"Product not available";"Premium";10;"2022-02-11";77;1;4;5;1;3;2
"S0079";1014;876;"Europe";17;15;81;4;"Yes";"Highly satisfied";"Premium";3;"2024-01-08";78;1;5;6;3;1;9
"S0080";705;551;"North America";8;8;57;4;"Yes";"Highly satisfied";"Basic";1;"2022-08-14";79;1;7;2;2;2;11
"S0081";416;178;"Asia";17;12;35;2;"Yes";"Price too high";"Premium";7;"2024-03-15";80;1;6;5;5;1;9
"S0082";941;752;"North America";16;6;74;3;"Yes";"Excellent service";"Premium";3;"2023-07-04";81;1;6;6;1;4;9
"S0083";243;45;"Asia";19;10;60;4;"Yes";"Price too high";"Basic";4;"2022-02-09";6;2;2;2;2;3;4
"S0084";1004;769;"South America";29;14;54;1;"Yes";"Responsive sales team";"Premium";5;"2023-11-27";82;1;4;1;3;1;3
"S0085";798;529;"South America";10;15;64;4;"Yes";"Satisfied with product";"Basic";2;"2023-04-10";83;2;10;7;5;2;11
"S0086";1135;1061;"South America";5;13;32;5;"Yes";"Price too high";"Premium";7;"2024-04-13";84;1;7;7;5;3;2
"S0087";1232;1089;"North America";30;10;63;2;"Yes";"Great customer support";"Premium";7;"2022-02-06";85;1;9;4;2;4;2
"S0088";293;29;"Europe";15;6;81;4;"Yes";"Fast delivery";"Premium";5;"2022-09-01";86;2;4;2;4;5;10
"S0089";1242;1151;"North America";12;13;87;2;"Yes";"Fast delivery";"Premium";3;"2022-06-24";87;2;8;5;4;3;9
"S0090";1496;1321;"Asia";23;5;32;2;"Yes";"Satisfied with product";"Basic";9;"2023-09-22";88;1;7;2;4;1;3
"S0091";749;631;"Europe";13;8;92;3;"Yes";"Fast delivery";"Premium";2;"2022-09-01";89;1;5;2;5;4;9
"S0092";215;151;"North America";18;20;63;3;"Yes";"Price too high";"Premium";6;"2024-01-29";90;1;9;2;5;4;11
"S0093";331;31;"South America";8;17;53;5;"Yes";"Highly satisfied";"Basic";1;"2022-01-05";91;2;15;5;4;1;11
"S0094";906;609;"Europe";16;10;54;4;"Yes";"Satisfied with product";"Premium";4;"2024-03-21";92;1;9;7;4;2;5
"S0095";403;264;"North America";23;7;96;4;"Yes";"Responsive sales team";"Basic";9;"2024-06-05";93;2;3;3;1;5;9
"S0096";321;250;"Asia";15;5;92;4;"No";"Satisfied with product";"Premium";5;"2024-05-03";94;1;10;6;1;3;4
"S0097";1227;1013;"South America";22;17;61;4;"No";"Excellent service";"Premium";8;"2024-07-11";95;2;8;2;5;5;11
"S0098";1337;1287;"South America";29;8;48;4;"No";"Price too high";"Basic";2;"2022-12-31";96;1;1;7;5;4;3
"S0099";1350;1142;"Europe";11;17;48;3;"Yes";"Responsive sales team";"Basic";10;"2024-01-15";97;1;2;4;3;2;9
"S0100";990;754;"North America";27;15;22;2;"Yes";"Fast delivery";"Basic";9;"2024-01-02";98;2;6;6;4;4;4
"S0101";857;615;"Europe";10;14;98;5;"No";"Satisfied with product";"Basic";8;"2022-10-15";99;1;8;6;4;5;10
"S0102";340;49;"North America";19;6;81;5;"No";"Highly satisfied";"Premium";4;"2022-12-25";100;2;11;6;1;4;4
"S0103";909;727;"South America";23;10;74;1;"No";"Highly satisfied";"Premium";5;"2024-04-11";101;1;3;2;2;5;4
"S0104";425;347;"South America";23;14;25;5;"No";"Responsive sales team";"Basic";10;"2022-03-15";102;1;14;1;4;1;2
"S0105";1476;1417;"North America";19;10;38;3;"Yes";"Fast delivery";"Basic";4;"2023-03-09";103;1;9;1;1;3;1
"S0106";366;179;"Europe";26;5;28;2;"Yes";"Responsive sales team";"Premium";2;"2023-06-24";104;2;6;8;2;1;10
"S0107";567;515;"South America";19;13;41;5;"Yes";"Highly satisfied";"Basic";6;"2023-05-04";105;1;13;5;4;1;2
"S0108";1301;1174;"North America";18;17;98;5;"Yes";"Satisfied with product";"Basic";5;"2024-04-17";106;1;3;1;3;2;2
"S0109";1194;988;"Asia";10;16;100;4;"Yes";"Excellent service";"Basic";4;"2023-12-13";107;1;7;5;3;5;9
"S0110";1123;962;"North America";21;18;66;3;"Yes";"Highly satisfied";"Premium";7;"2022-01-20";108;1;2;3;5;3;10
"S0111";529;385;"Asia";25;15;62;5;"No";"Great customer support";"Premium";5;"2023-02-13";109;2;13;7;2;2;4
"S0112";1130;1042;"North America";8;6;50;1;"Yes";"Satisfied with product";"Basic";7;"2022-04-08";110;1;8;7;3;2;4
"S0113";786;531;"Asia";24;11;95;1;"Yes";"Excellent service";"Basic";1;"2023-07-08";111;2;1;1;1;3;5
"S0114";506;214;"Europe";11;7;32;3;"Yes";"Responsive sales team";"Premium";8;"2023-04-20";112;1;11;3;3;3;2
"S0115";1069;936;"Asia";13;14;53;4;"Yes";"Product not available";"Premium";10;"2022-05-23";113;1;7;4;4;2;4
"S0116";530;268;"South America";10;19;90;2;"No";"Highly satisfied";"Basic";2;"2024-06-26";114;2;11;6;4;1;5
"S0117";501;356;"North America";29;8;60;3;"No";"Excellent service";"Premium";2;"2023-08-04";6;1;15;5;2;5;5
"S0118";156;99;"North America";17;16;85;2;"Yes";"Price too high";"Basic";5;"2022-05-17";115;1;8;5;5;5;4
"S0119";280;66;"South America";17;18;92;4;"Yes";"Fast delivery";"Premium";9;"2022-07-11";116;2;5;8;2;4;3
"S0120";556;471;"Asia";9;13;86;2;"Yes";"Product not available";"Basic";7;"2022-10-24";117;1;12;7;2;3;9
"S0121";1464;1371;"South America";19;12;99;4;"Yes";"Product not available";"Basic";4;"2022-09-01";118;1;13;8;4;3;2
"S0122";1306;1030;"North America";16;7;80;1;"Yes";"Great customer support";"Basic";5;"2024-01-12";119;1;11;8;3;4;3
"S0123";816;720;"North America";18;9;41;4;"No";"Highly satisfied";"Basic";10;"2023-04-18";120;1;11;4;4;1;4
"S0124";484;348;"Europe";15;19;31;2;"Yes";"Satisfied with product";"Premium";9;"2022-12-14";121;1;1;7;3;4;3
"S0125";711;582;"North America";27;9;36;3;"Yes";"Responsive sales team";"Basic";1;"2022-04-19";122;1;7;8;4;3;3
"S0126";500;307;"Europe";29;11;50;5;"Yes";"Great customer support";"Basic";9;"2024-01-19";123;2;4;7;3;2;11
"S0127";1443;1336;"South America";12;18;46;1;"Yes";"Excellent service";"Premium";3;"2023-09-20";124;2;11;1;5;3;9
"S0128";303;65;"South America";18;20;44;3;"Yes";"Fast delivery";"Basic";1;"2024-04-06";125;1;12;1;3;2;5
"S0129";785;705;"Europe";22;17;88;5;"Yes";"Satisfied with product";"Premium";6;"2022-08-27";126;1;14;4;3;3;2
"S0130";1419;1177;"North America";22;20;93;2;"Yes";"Fast delivery";"Basic";4;"2024-01-03";127;2;13;4;1;4;11
"S0131";489;291;"Europe";30;6;31;2;"Yes";"Great customer support";"Premium";6;"2022-04-18";128;1;12;2;1;5;2
"S0132";762;578;"South America";7;18;58;3;"Yes";"Great customer support";"Basic";2;"2024-03-01";129;2;3;4;3;4;10
"S0133";691;596;"Europe";11;17;24;2;"No";"Great customer support";"Premium";9;"2022-08-12";130;1;14;8;5;4;5
"S0134";960;844;"Asia";16;11;38;2;"Yes";"Responsive sales team";"Premium";1;"2023-07-30";131;2;10;7;4;2;2
"S0135";324;154;"Asia";10;16;28;2;"Yes";"Responsive sales team";"Premium";4;"2022-11-20";132;1;12;5;3;2;11
"S0136";376;250;"Asia";9;14;22;5;"Yes";"Price too high";"Premium";9;"2024-07-09";133;1;4;2;4;1;11
"S0137";1087;905;"Europe";25;14;20;3;"No";"Satisfied with product";"Basic";3;"2024-05-31";134;2;14;2;3;2;9
"S0138";194;-9;"Asia";15;7;88;4;"Yes";"Product not available";"Basic";2;"2022-08-26";135;1;11;5;3;1;3
"S0139";524;412;"North America";20;14;61;4;"Yes";"Great customer support";"Premium";2;"2022-10-25";136;2;9;1;5;3;3
"S0140";1109;846;"Asia";12;18;46;1;"No";"Price too high";"Basic";2;"2023-11-07";108;1;4;1;3;5;4
